date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:10	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/css/core/ajax-loader.gif	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/css/core/ajax-loader.gif	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:11	4191/4191	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-105f%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/watermark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/watermark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:11	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.eot	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.eot	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:11	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.eot?	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slickd41d.eot	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:11	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.woff	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.woff	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:12	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.ttf	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.ttf	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:12	236849/236849	---M--	200	added ('OK')	image/jpeg	etag:%22d90c33e7d2dc22db4b6fe8869b187bcd%22	http://s3.amazonaws.com/branded.me/gallery/architecture/17.jpg	C:/My%20Web%20Sites/Abhishek_Mondal/s3.amazonaws.com/branded.me/gallery/architecture/17.jpg	(from http://www.abhishekmondal.branded.me/)
17:55:12	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.svg	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/css/core/fonts/slick.svg	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:12	1354/1354	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-54a%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/prev-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/prev-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:13	1342/1342	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-53e%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/next-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/next-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:13	911/911	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-38f%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/prev-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/prev-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:13	881/881	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-371%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/next-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/next-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:14	100/100	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-64%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/menu-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/menu-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/mobile.css)
17:56:08	300283/300283	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22ba5464eaacf0e794d73adfd9236bc25e%22	https://s3.amazonaws.com/branded.me/gallery/architecture/1.jpg	C:/My%20Web%20Sites/Abhishek_Mondal/s3.amazonaws.com/branded.me/gallery/architecture/1.jpg	(from http://www.abhishekmondal.branded.me/)
